date,daily_return,portfolio_value,rolling_vol_30d,rolling_vol_90d
2021-09-14,-0.0009145997118974046,4995427.001440513,,
2021-09-15,0.004333388108478528,5017074.125405327,,
2021-09-16,0.019509135851661856,5114952.906095718,,
2021-09-17,-0.0020569254283555813,5104431.829398328,,
2021-09-20,-0.002044731217648855,5093994.638288397,,
2021-09-21,0.009708348136362179,5143448.911641664,,
2021-09-22,0.0012796870990462136,5150030.916858494,,
2021-09-23,0.01719551372596857,5238588.344178498,,
2021-09-24,0.004720133908243196,5263315.182653182,,
2021-09-27,0.004204867080968794,5285446.723401485,,
2021-09-28,-0.003956991458113332,5264532.255864671,,
2021-09-29,-0.005306729481895442,5236594.807334084,,
2021-09-30,-0.004572273043930973,5212651.666054522,,
2021-10-01,-0.0035609498785728493,5194089.674737242,,
2021-10-04,0.007400346552701586,5232527.738356106,,
2021-10-05,0.008874498209460737,5278963.796401101,,
2021-10-06,-0.007644742543865138,5238607.47727923,,
2021-10-07,0.004408669394838208,5261702.765735881,,
2021-10-08,0.014342529437627165,5337168.892545493,,
2021-10-11,0.0036401815890803966,5356597.15648595,,
2021-10-12,0.0026344669077907213,5370708.934433077,,
2021-10-13,0.013770786019870184,5444667.81794416,,
2021-10-14,0.014859719153068773,5525574.052600563,,
2021-10-18,0.012076086112926666,5592301.360683121,,
2021-10-19,-0.0009935053383189054,5586745.379427794,,
2021-10-20,-0.008180391951403992,5541043.6124913795,,
2021-10-21,-0.01621721788885306,5451183.300895969,,
2021-10-22,-0.008680641067997794,5403863.5352650285,,
2021-10-25,-0.011038801234720967,5344211.359799681,,
2021-10-26,0.010424381207509669,5399921.456267737,0.1427189334925805,
2021-10-27,-0.0011051328384527105,5393953.82574135,0.1427608510175122,
2021-10-28,-0.024832000172512057,5260011.163410019,0.16324110418368765,
2021-10-29,-0.0158113048227782,5176843.523534127,0.16171292614905483,
2021-11-01,0.011412878351607146,5235926.208913527,0.16458424323181825,
2021-11-02,-0.005609069165734037,5206557.536661052,0.16546032866223448,
2021-11-03,-0.008425889894983562,5162687.656125248,0.16530595124390016,
2021-11-04,0.008168509566032616,5204859.119630747,0.16690328766020163,
